city,country,season_Spring,season_Summer,season_Fall,season_Winter,activity_level_Low,activity_level_Medium,activity_level_High,safety_conscious_Low,safety_conscious_Medium,safety_conscious_High,popularity_Low,popularity_Medium,popularity_High,traveller_type_Solo,traveller_type_Couple,traveller_type_Family,traveller_type_Friends,traveller_type_Business,interest_Adventure,interest_Beach,interest_Cuisine,interest_Culture,interest_History,interest_Nature,interest_Nightlife,interest_Shopping,budget_0-49,budget_50-99,budget_100-249,budget_300+,scene_Desert,scene_Jungle,scene_Lake,scene_Mountain,scene_Plains,scene_Rural,scene_Sea,scene_Urban,age_0-19,age_20-39,age_40-59,age_60+
Chiang Mai,Thailand,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Pai,Thailand,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Phang Nga,Thailand,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Phi Phi Don,Thailand,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Phuket,Thailand,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Railay Beach,Thailand,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Sukhothai,Thailand,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Trang,Thailand,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Port of Spain,Trinidad and Tobago,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Scarborough,Trinidad and Tobago,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
